Author,Article title,Issue,pp.,date,location,keyword
"Davies, Gloria Evans",Banquet,53,,,,poem;
"Davies, Gloria Evans",Torn lantern,53,,,,poem;
"Earle, Jean",Mari Penrhys,53,,,,poem;
"Gwynfryn, Hywel","Miss Trydydd Byd (tr. Sian James, Nigel Jenkins",53,,,,poem;
"James, Sian",Miss Third World (tr.),53,,,,poem;
"Jenkins, Nigel",Miss Third World (tr.),53,,,,poem;
,,53,20-6;105-6,,,amusement arcades;
,,53,82-90,,,Anglo-Welsh;dialects;
,,53,107-9,,,Anglo-Welsh literature;teaching;
,,53,109-13,,,art galleries;
"Barnie, John",Caradoc Evans the impious artist,53,64-9,,,
"Barnie, John",Celtic crosses- Anglo-Welsh and Irish,53,107-8,,,
"Brown, Stewart",Dreadtalk - Caribbean poetry now,53,70-80,,Caribbean;,poetry;
"Davies, Aneirin Talfan",Saunders Lewis (television interview),53,3-12,,,
"Davies, Caryl","Saunders Lewis (television interview), translation",53,3-12,,,
"Davies, Gwen","Censorship abroad, at home, and in the head",53,116-17,,,
Ffrancon,Dai Dialectic and the body politic,53,118-19,,,cartoon;
"Francis, Michael",A first day,53,27-42,,,play;
"Harris, John",Caradoc Evans as Editor of Ideas,53,52-63,,,
"Hughes, Owen",Which gallery?,53,109-13,,,
"Murray, Les A.",The butter factory,54,,,,poem;
"Murray, Les A.",The milk lorrfy,54,,,,poem;
"Tripp, John",Life under Thatcher,54,,,,poem;
"Wilkins, Helen",Gardeners,54,,,,poem;
,,54,51-9,,,acid rain;
,,54,39-44,,,ancient monuments;
,,54,121-4,,,archaeology;
,"Barcelona, 1888-1936",54,126-8,,Barcelona;Catalunya,
"Barnie, John",The city and nature,54,30-8,,,
"Barnie, John",Dodging the Natioanl Parks (interview with Les A Murray),54,13-19,,,
,,54,39-44,,,CADW;
"Davies, Diane",Prince of Hochdorf and other Celts,54,121-4,,,
"Davies, Gwen",A europe of peoples,54,108-10,,,
"Davies, Jeff",Illustrations,54,"67,70",,,
"Day, Graham",Who are the peacce people?,54,113-17,,,
"Ellis, Tom",Which proportional representation?,54,74-9,,,
Ffrancon,Dai Dialectic and the body politic,54,"114-15,120",,,cartoon;
"George, David",Barcelona 1888-1936,54,126-8,,Barcelona;,
"Hopkins, Ken",The Cardiff Royal Infirmary,55,,,,poem;
"Llewellyn-Williams, Hilary",The trespasser,55,,,,poem;
"Stewart, Pamela",The twenty-eighth sailor,55,,,,poem;
"Stewart, Pamela",The wind of late summer,55,,,,poem;
"Thomas, R.S.",Fugue for Ann Griffiths,55,,,,poem;
,,55,10-12,,,Anglo-Welsh literature;teaching;
,,55,27-33,,Blaenau Ffestiniog;,
"Butler, Chris",Speial advisers- a semi-secret circle,55,13-20,,,
"Davies, Gwen",Her own story,55,"113,116-17",,,
"Davies, James A. ",Examiner's report the WJEC and A-level English,55,6-12,,,
"Forest, Eva",Why we live in Euskadi,55,78-96,,,
"Brown, George Mackay",The April play,56,,,,poem;
"Hughes, Dai",Swonzee boy see,56,,,,poem;
"Neruda, Pablo",Los dictadores/Dictators (tr. Malcolm Parr),56,,,,poem;
"Parr, Malcolm",Dictators,56,,,,poem;
,,56,8-19,,Falkland/Malvinas;Argentina,Belgrano Affair
"Davies, Brian",Swansea and the Chilean copper trade,56,65-8,,,
Ffrancon,A message from David M. Dialectic,56,116-17,,,cartoon;
"Finch, Peter",Dwarf grapes?,56,89-98,,,
"Gatica, Humberto",Through the view-finder,56,69-71,,,
"Gimpel, A.",Chile since the coup: a chronology,56,32-6,,Chile,military coup;
"Henderson, Jean",Tripp's last day,56,3-6,,,
"Jenkins, Mike",A dissident voice,57,,,,poem;
"Leonard, Tom",from Situations Theoretical and Contemporary,57,,,,poem;
"Leonard, Tom",The rule of law,57,,,,poem;
"Moules, Sue",The legend,57,,,,poem;
,,57,117-118,,,"Academi Gymreig, Yr;"
,,57,60-3,,,agriculture
,,57,27-31,,,astronomy;
"Barnie, John",Beating the bounds,57,32-7,,,
"Bartholomew, Kate",,57,51-7,,,
"Baxter, John",A miner's life sentence,57,113-16,,,
"Brown, Stewart",Grass (interview with meg Stevens),57,64-9,,,
,,57,3-7,,Montreal;,
,,57,116-17,,Cardiff;,Cardiff Literature Festival;
"Davies, Gwen",Feminists focus up,57,70-3,,,
"Disney, Michael",Icebergs in the sky,57,27-31,,,
"Dobbs, Patrick",Family farms and farming families,57,60-3,,,
"Edwards, G.E.",Women at work in the two Germanies,57,44-50,,,
Ffrancon,Dai Dialectic is on holiday,57,120,,,cartoon;
"Conran, Tony",F.R. Konekamp (tr.),58,,,,poem;
Gwenallt,F.R. Konekamp (tr. Tony Conran),58,,,,poem;
"Pitt, Mair",The new suit man,58,,,,poem;
"Stevens, Meg",Conversation in the ladies,58,,,,poem;
"Stow, Randolph",The clock in the empty house,58,,,,poem;
,,58,112-13;116,,,"advertising, television;"
,,58,41-5,,Libya;,Africa;
,,58,41-5,,,"Anger, Ed;"
,,58,3-9,,,army training areas;
,,58,118-20,,Australia;,Celtic studies;
"Barnie, John",Big road Blues,58,68-75,,,
"Cullen, Greg",The real war,58,30-40,,,
"Davies, Gwen",A German painter in Pembrokeshire,58,22-5,,,
"Davies, Gwen",See yourself as others see you,58,118-20,,,
"Davies, Janet",The fight for Preseli,58,3- 9,,,
"Dressel, Jon",A saloon of my own,58,51-8,,,
Ffrancon,Dai Dialectic and the body politic,58,114-15,,,cartoon;
"Francis, Hywel",From Wales to Spain to Nicaragua,58,117-18,,Wales;Spain;Nicaragua,
"Gee, Kenneth",A German painter in Pembrokeshire,58,16-21,,,
"Edmond, Lauris",Three poems on Utah,59,,,,poem;
,,59,26-9,,,acid rain;
,,59,49-53,,,literature;Africa;
"Barnie, John",Glory glory academic,59,114-16,,,
,,59,41-8,,,"Blixen, Karen;"
,,59,3-8,,Port Talbot;,BSC Port Talbot;
"Chapman, Michael;",Soweto Poetry,59,9-16,,Soweto;South Africa;,
"Davies, Janet","The ""No"" campaign papers",59,120,,,
Ffrancon,Dai Dialectic and the body politic,59,118-19,,,cartoon;
"Harris, Chris",What happened at Margam,59,3-88,,Margam;,
"Conran, Tony",A fern from Skye,60,,,,poem;
"Moules, Sue",The bird of Wales,60,,,,poem;
"Schwenk, Norman",White lady,60,,,,poem;
,,60,3-8,,,"Amis, Kingsley;"
Anthony John,Workless images,60,13-18,,,
"Barnie, John",The art of puffing,60,3-8,,,
"Bell, Ian",Patter-merchants and chancers,60,43-52,,,
,,60,19-24,,,"Bible, Welsh;"
"Clifford, Desmond",Alternative schools,60,"123-5,128",,,
"Cunningham, Chris",Scotland after Younger,60,120-3,,,
"Davies, Gwen",Staying put?,60,59-62,,,
"Dent, Janet",Educating Rhian,60,86-91,,,
Ffrancon,Dai Dialectic and the body politic,60,126-7,,,cartoon;
"Aspen, Bryan",Unamuno on Fuerteventura,61,,,,poem;
"Beynon, B.W.",Rubbery,61,,,,poem;
"Clancy, Joseph P.",Chance child (tr.),61,,,,poem;
"Forbes, Calvin",Kindness,61,,,,poem;
"Gramich, Katie",Opening a bale,61,,,,poem;
"Lawrence, Huw",Williams' vision,61,,,,poem;
"Lewis, Saunders",Plentyn siawns/Chance child (tr. Joseph P. Clancy),61,,,,poem;
"Miles, Kathy",Portrait of a jewelled lady,61,,,,poem;
"Poole, Richard",An auction,61,,,,poem;
"Verdon, Robert",Love,61,,,,poem;
,,61,59-62,,,adult education;
,,61,77-84,,,art;nonconformity;
,,61,112-15;118,,,arts;
,,61,118-20,,Merthyr Tydfil;,arts;
,,61,72-6,,Australia;,"Jenkins, Joseph;"
,,61,63-71,,Australia;,literature;
"Barnie, John",The rim and the centre,61,63-71,,,
,,61,41-6,,,"Bishop, Maurice;"
"Butler, Chris",What fate for the language?,61,31-3,,,
"Downes, David",A long day's journey into night,61,112-15,,,
Ffrancon,Dai Dialectic and the body politic,61,116-17,,,cartoon;
"Harvey, John",The art of piety,61,77-84,,,
"Bendon, Chris",Anglo-Welsh Poetry,62,,,,poem;
"Davies, John",Prys,62,,,,poem;
"Minhinnick, Robert",The hot-house,62,,,,poem;
"Wilkins, Helen",Our Language,62,,,,poem;
,,62,48-56,,,Anglo-Welsh literature;
,,62,120,,,arts;
,,62,120,,,Arts Council of Great Britain;
"Barnie, John",Easing the tension (interview with Rayond Garlick),62,48-56,,,
"Barnie, John",The Laureate and thte Firm,62,13-20,,,
,,62,71-7,,Caernarfon;,World War II;
"Davies, Gwen",A dictionary of place-names?,62,118-20,,,
Ffrancon,Dai Dialectic and the body politic,62,108-11,,,cartoon;
"Garlick, Raymond",Easing the tension (interview with John Barnie),62,48-56,,,
"Gruffydd, Peter",Some displaced elements,62,71-7,,,
"Burrows, Wayne",The dung beetle,63,,,,poem;
"Dawe, Gerald",Disturbances,63,,,,poem;
"Dawe, Gerald",Quiet farm,63,,,,poem;
"Hill, Greg",Dysgwr,63,,,,poem;
"Houston, Douglas",Tramontane,63,,,,poem;
"Jenkins, Mike",Snooker bar,63,,,,poem;
"Mason, Neal",Atmospherics,63,,,,poem;
"Miles, Kathy",The pardoner,63,,,,poem;
,,63,63-71,,,Celtic art;
"Barnie, John",heoric laughter,63,29-38,,,
"Barnie, John",Reflections (interview with Gwyn Jones),63,23-8,,,
,,63,9-13,,,broadcasting;
"Christie, Clive",The Ulster Protestants and national identity,63,39-44,,,
"Davies, Gwen",Decolonizing the class-room,63,117-18,,,
"Dawe, Gerald",Borders of  freedom,63,45-50,,,
"Disney, Michael",Fountains of air,63,53-62,,,
Ffrancon,Dai Dialectico and the body politico,63,114-15,,,cartoon;
"Henderson, Jean",Arthur Miles R.I.,63,89-98,,,
"Hudson, Clare",TV film world turned upside down,63,"111-13,116",,,
"Bendon, Chris","Lobster, Aberaeron",64,,,,poem;
"Brown, Stewart",Temper temper,64,,,,poem;
"Curtis, Tony",Second half,64,,,,poem;
"Elfyn, Menna","Mae pethau wedi newid, Mr Frost/Things have changed, Mr Frost",64,,,,poem;
"Fisher, Catherine",Oubliette,64,,,,poem;
"Jones, Huw",Synod,64,,,,poem;
"Stewart, Pamela",Fiction's daughter,64,,,,poem;
"Wilkins, Helen","14 July, Aberystwyth",64,,,,poem;
"Adamson, Dave",No face forgotten,64,8-13,,,
,,64,47-51,,United States;,Americans in Wales;
,,64,11-16,,United States;Wales;,Welsh Americans;
,,64,47-51,,,Anglo-Welsh literature;children's literature;
,,64,120,,,"Bowie, David;"
,,64,114-16,,Canada;,Welsh in Canada;
,,64,120,,Cardiff Arms Park;,
"Curtis, Tony",Nos da Cardeeth,64,120,,,
"Davies, Gwen",How green is their hiraeth,64,114-16,,,
Ffrancon,Dai Dialectico and the body politico,64,118-19,,,cartoon;
"Halicz, Emanuel",The phoenix nation,64,70-6,,,
"Hill, Greg",English voices,64,14-19,,,
"Hourahane, Shelagh",Carving our inheritance,64,34-42,,,
"Fisher, Catherine",Pilgrims,65,,,,poem;
"Griffiths, David",Failure,65,,,,poem;
,,65,54-67,,,art;stained glass;
"Barnie, John",People of the Black mountains (interview with Raymond Williams),65,3-13,,,
"Bender, Rodney",A tradition of light,65,54-61,,,
,,65,3-13,,Black Mountains;,Black Mountains;
,,65,14-20,,Port Talbot;,BSC Port Talbot;
,,65,40-7,,,Carnhuanawe (Thomas Price)
"Davies, Grahame",National Front Cymru,65,109-11,,,
"Davies, Grahame",Our (other) links with Cuba,65,119-20,,,
"Davies, Janet",Carnhuanawc,65,40-7,,,
"Fevre, Ralph",The social creation of unemployment,65,14-20,,,
Ffrancon,Dai Dialectico and the body politico,65,114-15,,,cartoon;
"Haines, Meic",Land of my four grandfathers,65,32-9,,,
"Harris, John",Letters from the cultural battlefront,65,21-6,,,
"Hooker, Jeremy",Tel Gezer,66,,,,poem;
"Jenkins, Mike",Fragments of the noise,66,,,,poem;
"Pugh, Sheenagh",Official briefing for ministers on the recent violence in the capital,66,,,,poem;
,,66,28-36,,Brittany;,nationalism;
"Clarke, Gillian",Beyond the boundaries,66,60-1,,,
"Clifford, Desmond",With the Irish in Frongoch,66,37-42,,,
"Davies, Elwyn",A summer in Emsburen,66,62-7,,Emsburen;,
"Davies, Grahame",National Front Cymru update,66,119,,,
"Davies, Gwen",The new education bill - how they responded,66,"112-15,118",,,
"Dehandschutter, Lievin",One man's Resolution,66,9-13,,,
"Edmond, Lauris",Beyond the boundaries,66,50-3,,,
"Elfyn, Menna",Beyond the boundaries,66,54-8,,,
Ffrancon,Dai Dialectico and the body politico,66,116-17,,,cartoon;
"Foure, Yann",A Breton political exile,66,28-36,,Brittany,
"Francis, Michael",Frongoch prisoner-of-war-camp,66,37-42,,Frongoch;,
"Gramich, Katie",Yr Awr Hon - Welsh poetry in 1986,66,68-75,,,
"Hill, Greg",A Welsh monk,66,120,,,
"Hughes, Catrin",A Breton political exile (interview with Yann Fouere),66,28-36,,Brittany;,
Bush Jacob,Four poems,67,,,,poem;
"Meredith, Christopher",Moon through binoculars,67,,,,poem;
"Pugh, Sheenagh",The climate of the country,67,,,,poem;
,,67,117-20,,,"Arthur, King;"
"Barnie, John",Fault lines,67,3-13,,,
,,67,66-72,,Catalunya;,publishing;
"Davies, Gareth Alban",From Barcelona to Llangrannog,67,66-72,,Barcelona;Llangrannog;,
"Davies, Gwen",Behind the scenes,67,"112-3,16",,,
"Davies, John, historian","Wales, ireland and Lloyd George",67,20- 8,,,
"Edwards, G.E.",Employment policies and rationalisation in the GDR,67,55-61,,,
Ffrancon,Dai Dialectico and the body politico,67,114-15,,,cartoon;
"Hopkin, Bryan",Unemployment and the demand for labour,67,38-44,,,
"Brown, Stewart",3S,68,,,,poem;
"Brown, Stewart",With all my griefs in my arms,68,,,,poem;
"Dabydeen, David",Burning down the fields,68,,,,poem;
"Dabydeen, David",The new poetry,68,,,,poem;
"Earle, Jean",Wednesdays,68,,,,poem;
"Schwenk, Norman",St David's Hall,68,,,,poem;
"Thomas, R.S.",RIP 1588-1988,68,,,,poem;
,,68,54-8,,,Acts of Union (1536);
"Anderson, Victor",How to spend a million pounds,68,59-62,,,
,,68,32-5,,,Anglo-Welsh literature;teaching;
,,68,18-22,,,art;religion;
,,68,7-14,,,arts;
,,68,"114-15,118-19",,,barrage schemes;
,,68,119-20,,Brittany;,education;language;
"Dabydeen, David",From Care to Cambridge,68,39-43,,,
"Davies, Gwen",Dam the consequences (I),68,"114-15,118-19",,,
"Evans, Gwynfor",The 1536 Act of Incorporation and the Welsh language (I),68,54-8,,,
Ffrancon,Dai Dialectic and the body politic,68,116-17,,,cartoon;
"Bishop, Patricia",Pagan burial,69,,,,poem;
"Bishop, Patricia",Shipwreck,69,,,,poem;
"Clancy, Joseph P.",Cheap grace,69,,,,poem;
"Gimblett, John",Calcutta streetscene,69,,,,poem;
"Hill, Greg",R.S. Th ,69,,,,poem;
"Jenkins, Mike",A newt in the classroom,69,,,,poem;
"Schwenk, Norman","Blackweir, River Taff",69,,,,poem;
,,69,114,,,Acts of Union (1536);
,,69,57-64,,,ballads
"Barnie, John",Shot the innocent man,69,57-64,,,
,,69,114,,,barrage schemes;
"Bianchi, Tony",An Englishman and something more,69,47-56,,,
,,69,19-24,,,Campaign for a Welsh Assmbly;devolution;
"Davies, Gwen",The book trade,69,"115,118",,,
"Davies, Gwen",Dam the consequences (II),69,114,,,
"Evans, Gwynfor",The 1536 Act of Incorporation and the Welsh language (II),69,114,,,
"Gimblett, John",Diary of an Indian train journey,69,14-18,,India;,railways;trains
"Gwynn, Elinor",Churning it out,69,43-6,,,
"Aspen, Bryan",Blackening to Goya,70,,,,poem;
"Barnie, John",Askans Konung - the King of ashes,70,52-65,,,
,,70,99-100,,Gregynog,Beirdd Gregynog/Gregynog Poets;poetry
"Bianchi, Tony",An Englishman and something more,70,103,,,
"Carrog, Eleri",Cameran v Arfon,70,118-20,,,
Ffrancon,Dai Dialectic and the body politic,70,112-13,,,cartoon;
"Gramich, Katie",The luck of the Near-East commuter (intervview with wyn Williams),70,17-23,,,
"Hudson, Clare",Gwent returns to Wales,70,"108-11,114",,,
"Hudson, Keith",The Chartists - contemporary political songwriting,70,48-51,,,
"Bowen, Euros",Yr alarch/the swan,71,,,,poem;
"Bowen, Euros",Asgelliad o aur/winged in gold (tr. R. Gerallt Jones),71,,,,poem;
"Gruffydd, Peter",Edward Llwyd & time to come,71,,,,poem;
"Henry, Paul",Honeymoon at Castletownsend,71,,,,poem;
"Jones, R.Gerallt",Winged in gold (tr.),71,,,,poem;
"Llewellyn-Williams, Hilary",To the islands (Winter Solstice 1987),71,,,,poem;
"McKelliget, Phil",On the dole,71,,,,poem;
"Roberts, Tony",Lawrence of Arabia,71,,,,poem;
"Saville, Liz",Property,71,,,,poem;
"Stow, Randolph",Three poems,71,,,,poem;
"Wilkins, Helen",The inhalation,71,,,,poem;
,,71,112-13,,,acid rain;
,,71,98-102,,,art;exhibitions;
,,71,84-91,,,"Atkinson, Frederick Mac Curdy;"
,,71,98-102,,Australia;,painting;
"Barnie, John",Beauty and bread,71,54-63,,,
"Blake, Laurel",Short listed or short changed?,71,11-17,,,
Ffrancon,Dai Dialectic and the body politic,71,116-17,,,cartoon;
"Greenslade, David",English only: Ogwr Borough Council,71,"115,118",,Bridgend;,
"Griffith, T. Gwynfor",Thoughts on the death of a scholar,71,64-8,,,
"Bamford, Kevin",Phantom over the hill fort,72,,,,poem;
"Bendon, Chris",Dr Christopher's cabinet of wonders,72,,,,poem;
"Clancy, Joseph P.",Loyalties,72,,,,poem;
"Earle, Jean",Afterwards,72,,,,poem;
"Edmond, Lauris",The drive,72,,,,poem;
"Finch, Peter",Words for rain,72,,,,poem;
"Jones, Huw",A taste of honey,72,,,,poem;
"Pitt, Mair",Woman in a London restaurant,72,,,,poem;
,,72,48-53,,,Acts of Union (1536);
,,72,9-16,,,Anglo-Welsh literature;poetry;
,,72,40-7,,,art;landscape;
,,72,114-15,,,broadcasting;
"Butler, Chris",Mudiad Ysgolion Meithrin comes of age,72,115-17,,,
"Clifford, Desmond",Who rules the airwaves?,72,114-15,,,
"Tudor, David",Hearts but no coronets,72,"117,120",,,
"Deaccon, Bernard",The smile on the face of the Cornish cat,72,3- 8,,,
"Evans, Neil",The great game of Britain,72,29-35,,,
Ffrancon,Dai Dialectic and the body politic,72,118-19,,,cartoon;
"Hooker, Jeremy",The new iconoclasm,72,65-70,,,
"Beynon, B.W.",John Keats at Wentworth Place,73,,,,poem;
"Davies, John",Three poems on Utah,73,,,,poem;
"Houston, Douglas",Pictograph,73,,,,poem;
"Hughes, Jeremy",The Perfumed pillow,73,,,,poem;
"Stewart, Pamela",Dogs,73,,,,poem;
,,73,16-19,,,arson campaign;
"Barnie, John",Death of the mackerel,73,20-6,,,
"Bell, Ian",How green was my valley,73,3-9,,,
"Dennis, Ronald D.",The Welsh Mormon exodus,73,39-45,,,
"Egan, David",Big match time at Pontypridd,73,118-20,,Pontypridd,
"Erfyl, Gwyn",Tryweryn,73,49-53,,Capel Celyn,
Ffrancon,Dai Dialectic and the body politic,73,112-13,,,cartoon;
"Harris, John",Not only a place in Wales,73,10-15,,,
"Hughes, Judy",Fit Wales?,73,116-18,,,
"Clarke, Gillian",Cofiant,74,,,,poem;
"Hughes, Jeremy",Madonna,74,,,,poem;
"Morden, M.J.",Travel supplement,74,,,,poem;
,,74,34-40,,Aland islands;,
,,74,24-9,,,Albanians;
,,74,41-51,,,Anglo-Welsh;
,,74,84-92,,,art;wood-engraving;
,,74,112-13,,,Arvon Foundation;
,,74,3-10,,,British Union of Fascists;
,,74,55-62,,,"Bronte, Charlotte;"
"Crawford, Alistair",A personal vocabulary,74,84-92,,,
"Davies, Idris",The Valleys revisited,74,20- 3,,,
Ffrancon,Dai Dialectic and the body politic,74,116-17,,,cartoon;
"Gramich, Katie",Arvon Foundation in Wales,74,112-13,,,
"Hamm, Jeffrey",The making of a Welsh Fascist (interview with Chris Williams),74,3-10,,,
"Havard, Robert",Lost tribe or European nation?,74,11-19,,,
"Hemmerechts, Kristien",Jean Rhys and Charlotte Bronte's mad Creole,74,55-62,,,
"Hodgson, John",Serbs and Albanians in Kosovo,74,24-9,,Serbia;Albania;Kosovo;,
"Edmond, Lauris",At Grass Street,75,,,,poem;
"Edmond, Lauris",Things,75,,,,poem;
"Finch, Peter",Language,75,,,,poem;
"Schwenk, Norman",The golden cross,75,,,,poem;
"Ward, J.P.",In the box,75,,,,poem;
,,75,119-20,,,"Academi Gymreig, Yr;"
,,75,22-6,,,"Archers, The (radio programme)"
"Braithwaite, Edward Kamau",Writing in light (interview with Stewart Brown),75,58-66,,,
,,75,86-92,,,"Brown, George Douglas;"
"Brown, Stewart",Writing in light (interview with Edward Kamau Braithwaite),75,58-66,,,
,,75,3-15,,,"Burton, Richard;"
,,75,7-15,,New York;,"Cale, John;music;"
,,75,80-5,,,caricature;
"Tudor, David","Rich, Mel and Co.",75,3-15,,,
"Davies, Gwen",Academi Gymreig conference,75,119-20,,,
"Davies, Idris",A chapter of boyhood 1914-18,75,45-9,,,
Ffrancon,Dai Dialectic and the body politic,75,114-15,,,cartoon;
"Hill, Greg",Creative reading or creative writing?,75,27-31,,,
"Clancy, Joseph P.",Translation,76,,,,poem;
"Oen, Jan",the outside lavatory,76,,,,poem;
"Thomas, R.S.",Nant Gwrtheyrn,76,,,,poem;
"Webb, Harri",Dowlais,76,,,,poem;
,,76,105-8,,,art;exhibitions;
"Barnie, John",Wine in the glass,76,59-65,,,
,,76,"115,118",,,"Borrow, George;"
"Conran, Tony",Anglo-Welsh manque?,76,67-73,,,
"Davies, Brenda",Development of Snowdonia National Park,76,119-20,,,
"Davies, Gwen",The Van leer Project,76,113-15,,,
"Davies, Hazel Walford",Divisions,76,76-81,,,
"Davies, Idris",A holiday at home,76,55-8,,,
"Edwards, Huw",Epidemic hysteria 1188-1986,76,49-54,,,
Ffrancon,Dai Dialectic and the body politic,76,116-17,,,cartoon;
"Hawkes, David",Retiring to the mountains (interview with Cedric Maby),76,22-9,,,
"Hill, Greg",George Borrow in Wales,76,"115,118",,,
"Curtis, Tony",The captain;s diary,77,,,,poem;
"Earle, Jean",Antarctica,77,,,,poem;
"Fahey, Diane",A scribe of Essex,77,,,,poem;
"Graham, Desmond",Two characters,77,,,,poem;
"Lewis-Jones, Tony",1918,77,,,,poem;
"Adler, David",Struggling on,77,46-50,,,
,,77,86-90,,,
"Aplin, Jackie",Race at the Sherman,77,114-15,,,
,,77,51-9,,,art
,,77,3-18,,,arts funding;
"Barnes, David Russell",The National Curriculum for history,77,110-12,,,
"Barnie, John",What the chaps are saying,77,3-11,,,
"Davies, Gwen",UK Friends of the Earth Conference,77,119-20,,,
"Davies, Idris",Memories of childhood,77,81-5,,,
"Day, Graham",Whatever happened to the sociology of Wales?,77,69-77,,,
Ffrancon,Dai Dialectic and the body politic,77,116-17,,,cartoon;
"Francis, Michael",Friends of the Earth UK,77,119-20,,,
"Giardelli, Arthur",Artists as friends (interview with Ceridwen Lloyd-Morgan),77,51-9,,,
"Conran, Tony",Cywydd (of greeting) (tr.),78,,,,poem;
"Gruffydd, Peter",Through the wall,78,,,,poem;
"Hopkins, Gerard Manley",Cywydd (of greeting) (tr. Tony Conran),78,,,,poem;
"Jenkins, Mike",Murderer,78,,,,poem;
"Mason, Neal",The absentees,78,,,,poem;
"Wilkins, Helen",Getting dressed,78,,,,poem;
,,78,113-15,,Aberaman;,Aberaman Phurnacite Plant;
"Adamson, Dave",Patriarchy and class,78,10-15,,,
,,78,50-7,,Australia;,aborigines;
"Carter, Harold",The National Atlas of Wales,78,60-4,,,cartography;
"Davies, Gwen",Conservation quangos for Scotland and Wales,78,112-13,,,
"Davies, Janet",The Mercator Project,78,118-20,,,
"Davies, Lyn",The music of Alun Hoddinott,78,84-9,,,
Ffrancon,Dai Dialectic and the body politic,78,116-17,,,cartoon;
"Hudson, Clare",The chemistry set,78,3-9,,,
"Garlick, Raymond",Two poems,79,,,,poem;
"Hill, Greg",Incomers,79,,,,poem;
"Jones, Huw",Man lying in a hallway,79,,,,poem;
,,79,50-4,,Anglesey;,copper mining;
"Baines, Iola",National Film and Video Archive,79,"112-13,116",,,
,,79,20-8,,,Brith gof;
,,79,3-6,,,capitalism;
Ffrancon,Dai Dialectic and the body politic,79,114-15,,,cartoon;
"Harvie, Christopher","Of Trabbis, trains and twins",79,16-19,,,
"Hughes, S.J.C.",The rebirth of an industry - copper from Parys,79,50-4,,Parys Mountain;Anglesey;,
"Bidgood, Ruth",Leaving,80,,,,poem;
"Biermann, Wolf",Ballade vom gut Kirchenessen/Ballad of fine cherry eating (tr. Ian Hilton),80,,,,poem;
"Curtis, Tony",To the train and Hammad (tr.),80,,,,poem;
"Czechowski, Heinz",Als die Worter verboten waren/When the words were forbidden (tr. Ian Hilton),80,,,,poem;
"Czechowski, Heinz",Historische reminiszenz/Historical reminiscence (tr. Ian Hilton),80,,,,poem;
"Had, Mustafa",To the train and Hammad (tr.),80,,,,poem;
"Hilton, Ian",German poems ,80,,,,poem;
"Kirsch, Sarah",Zerrissenheit/Innerconflict (tr. Ian Hilton),80,,,,poem;
Mudhafer Al Nawab,To the train and Hammad (tr. Tony Curtis and Mustafa Had),80,,,,poem;
"Muller, Heiner",Selbstkritik/Self-criticism (tr. Ian Hilton),80,,,,poem;
"Reynolds, Oliver",DTs on Oliver's island,80,,,,poem;
"Thomas, R.S.",Bleak liturgies,80,,,,poem;
,,80,59-65,,Sahel;,
"Disney, Michael",Humming birds dunes,80,53-8,,,
"Evans, Neil",Nice people and red necks,80,87-93,,,
